CC[C@H]([NH3+])C[NH2+]C ZINC000040409146
CC[N@@H+]1CCC[C@@H]1CNC(=O)[C@H](C)[NH3+] ZINC000040456464
CC[N@@H+]1CCC[C@H]1CNC(=O)[C@H](C)[NH3+] ZINC000040456466
CC[N@@H+]1CC[C@H](CNC(=O)[C@H](C)[NH3+])C1 ZINC000040457678
CC[N@@H+]1CC[C@@H](CNC(=O)[C@H](C)[NH3+])C1 ZINC000040457679
CC[N@@H+]1CCC[C@H](NC(=O)C[NH3+])C1 ZINC000040503528
CC[N@@H+]1CCC[C@H](NC(=O)CC[NH3+])C1 ZINC000040503542
CC[N@@H+]1CCC[C@H](NC(=O)[C@@H](C)[NH3+])C1 ZINC000040503556
CC[N@@H+]1CCC[C@H](NC(=O)[C@H](C)[NH3+])C1 ZINC000040503589
CC1CC[NH+](CC(=O)NCC[NH3+])CC1 ZINC000040605503
CC[NH+](CC)CC(=O)NCC[NH3+] ZINC000040605505
CC(C)[N@H+](C)CC(=O)NCC[NH3+] ZINC000040605517
C[N@H+](CC(=O)NCC[NH3+])C1CCCC1 ZINC000040605570
CCC[N@H+](C)CC(=O)NCC[NH3+] ZINC000040605574
CC(C)[N@@H+]1CC[C@H](CNC(=O)C[NH3+])C1 ZINC000040624333
CC(C)[N@@H+]1CC[C@@H](CNC(=O)C[NH3+])C1 ZINC000040624336
C[N@@H+]1CCC[C@H](NC(=O)CC[NH3+])C1 ZINC000040673661
C[N@@H+]1CCC[C@@H](NC(=O)CC[NH3+])C1 ZINC000040673662
C[C@@H]([NH3+])C(=O)N[C@H]1CCC[N@H+](C)C1 ZINC000040673676
CC[NH2+]C1(CO)CC[NH2+]CC1 ZINC000040695538
[NH3+]C1C[C@H]2CC[C@@H](C1)[N@H+]2CCO ZINC000040750107
[NH3+]CC(=O)NCC[NH+]1CCCCCC1 ZINC000040768210
CC1CC[NH+](CCNC(=O)C[NH3+])CC1 ZINC000040772530
C[NH+](C)C(C)(C)CNC(=O)C[NH3+] ZINC000040807133
C[C@H]([NH3+])C(=O)NCC(C)(C)[NH+](C)C ZINC000040807172
C[C@@H]([NH3+])C(=O)NCC(C)(C)[NH+](C)C ZINC000040807174
C[NH2+]CC(=O)NCC(C)(C)[NH+](C)C ZINC000040807176
CCC[NH+]1CCC(NC(=O)C[NH3+])CC1 ZINC000040829673
[NH3+]CCCCCC(=O)NCC[NH3+] ZINC000040832319
